block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
20,0.75,0.75,1.0,QQQ,historical_mean,17,monthly_expanding_02
25,,,,QQQ,historical_mean,17,monthly_expanding_02
40,,,,QQQ,historical_mean,17,monthly_expanding_02
20,0.6071428571428572,0.6309523809523809,1.0,QQQ,random_walk,17,monthly_expanding_02
25,,,,QQQ,random_walk,17,monthly_expanding_02
40,,,,QQQ,random_walk,17,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,buy_hold,17,monthly_expanding_02
25,,,,QQQ,buy_hold,17,monthly_expanding_02
40,,,,QQQ,buy_hold,17,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,QQQ,momentum,17,monthly_expanding_02
25,,,,QQQ,momentum,17,monthly_expanding_02
40,,,,QQQ,momentum,17,monthly_expanding_02
20,0.25,0.25,1.0,QQQ,moving_average,17,monthly_expanding_02
25,,,,QQQ,moving_average,17,monthly_expanding_02
40,,,,QQQ,moving_average,17,monthly_expanding_02
20,0.5119047619047619,0.5357142857142857,1.0,QQQ,logistic_regression,17,monthly_expanding_02
25,,,,QQQ,logistic_regression,17,monthly_expanding_02
40,,,,QQQ,logistic_regression,17,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,LightGBM,17,monthly_expanding_02
25,,,,QQQ,LightGBM,17,monthly_expanding_02
40,,,,QQQ,LightGBM,17,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,XGBoost,17,monthly_expanding_02
25,,,,QQQ,XGBoost,17,monthly_expanding_02
40,,,,QQQ,XGBoost,17,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,QQQ,CatBoost,17,monthly_expanding_02
25,,,,QQQ,CatBoost,17,monthly_expanding_02
40,,,,QQQ,CatBoost,17,monthly_expanding_02
20,0.4642857142857143,0.4880952380952381,1.0,QQQ,random,23,monthly_expanding_02
25,,,,QQQ,random,23,monthly_expanding_02
40,,,,QQQ,random,23,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,historical_mean,23,monthly_expanding_02
25,,,,QQQ,historical_mean,23,monthly_expanding_02
40,,,,QQQ,historical_mean,23,monthly_expanding_02
20,0.6071428571428572,0.6309523809523809,1.0,QQQ,random_walk,23,monthly_expanding_02
25,,,,QQQ,random_walk,23,monthly_expanding_02
40,,,,QQQ,random_walk,23,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,buy_hold,23,monthly_expanding_02
25,,,,QQQ,buy_hold,23,monthly_expanding_02
40,,,,QQQ,buy_hold,23,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,QQQ,momentum,23,monthly_expanding_02
25,,,,QQQ,momentum,23,monthly_expanding_02
40,,,,QQQ,momentum,23,monthly_expanding_02
20,0.25,0.25,1.0,QQQ,moving_average,23,monthly_expanding_02
25,,,,QQQ,moving_average,23,monthly_expanding_02
40,,,,QQQ,moving_average,23,monthly_expanding_02
20,0.5119047619047619,0.5357142857142857,1.0,QQQ,logistic_regression,23,monthly_expanding_02
25,,,,QQQ,logistic_regression,23,monthly_expanding_02
40,,,,QQQ,logistic_regression,23,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,LightGBM,23,monthly_expanding_02
25,,,,QQQ,LightGBM,23,monthly_expanding_02
40,,,,QQQ,LightGBM,23,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,XGBoost,23,monthly_expanding_02
25,,,,QQQ,XGBoost,23,monthly_expanding_02
40,,,,QQQ,XGBoost,23,monthly_expanding_02
